SubImage Number,Class Name,RelativeOriginX2Absolute,RelativeOriginY2Absolute,Ymin,Xmin,Ymax,Xmax,cX,cY
subImage_4,darkHole,0,2238,0.42969692,0.60281754,0.46564013,0.6283253,115.0508103,2697.216271
subImage_4,darkHole,0,2238,0.7295855,0.5079977,0.7740266,0.5283593,193.214155,2624.561156
subImage_4,lightHole,0,2238,0.26427716,0.16485485,0.3021352,0.18350174,72.78398819,2367.937008
subImage_4,darkHole,0,2238,0.42422003,0.40639263,0.45983833,0.4298707,113.6014988,2549.926222
subImage_4,lightHole,0,2238,0.2575276,0.016031787,0.30051556,0.03772658,71.70854504,2258.051871
subImage_4,darkHole,0,2238,0.7285225,0.65331703,0.7701329,0.67727584,192.5772162,2734.311141
subImage_4,lightHole,0,2238,0.12874688,0.80424285,0.16880225,0.82792175,38.23506302,2846.797395
subImage_4,darkHole,0,2238,0.87867457,0.94521344,0.9231279,0.966822,231.5316156,2951.189229
subImage_4,lightHole,0,2238,0.57989186,0.60470754,0.60806125,0.6239851,152.6519752,2696.302359
subImage_4,darkHole,0,2238,0.42337725,0.7046996,0.46616238,0.7269496,114.3058424,2772.005132
subImage_4,darkHole,0,2238,0.56324947,0.05862733,0.6003309,0.08049623,149.520076,2289.893088
subImage_4,darkHole,0,2238,0.72410655,0.40731734,0.7682168,0.43076786,191.7635491,2550.605781
subImage_4,lightHole,0,2238,0.27330723,0.80278873,0.31155193,0.8273611,75.15440239,2846.045891
subImage_4,lightHole,0,2238,0.2713384,0.5568457,0.30326667,0.5785058,73.83675246,2661.486124
subImage_4,darkHole,0,2238,0.4171855,0.30942854,0.44926086,0.3294375,111.3383555,2476.297032
subImage_4,darkHole,0,2238,0.2616319,0.11100408,0.30401087,0.13741457,72.68509647,2330.660157
subImage_4,darkHole,0,2238,0.4222238,0.50658387,0.45413473,0.5252164,112.6120722,2622.861501
subImage_4,darkHole,0,2238,0.86873597,0.10696655,0.91211426,0.12852237,228.8392548,2325.837365
subImage_4,lightHole,0,2238,0.118331656,0.6060735,0.15685466,0.63047177,35.3614415,2699.231384
subImage_4,darkHole,0,2238,0.8704458,0.05710863,0.9183073,0.08136987,229.8547724,2289.65248
subImage_4,lightHole,0,2238,0.5857562,0.84827137,0.6231337,0.86991924,155.3423524,2878.885098
subImage_4,darkHole,0,2238,0.7277373,0.60499936,0.76345056,0.6287228,191.6176414,2698.178362
subImage_4,lightHole,0,2238,0.58339196,0.7517542,0.6170071,0.7719942,154.2512768,2806.358152
subImage_4,darkHole,0,2238,0.4203537,0.25974533,0.45252535,0.28066885,112.164959,2439.574491
subImage_4,darkHole,0,2238,0.7079211,0.06260067,0.75820684,0.0849896,188.3974393,2293.051172
